day,time,src_node,dst_node
10,1.164800,13,18
10,1.329600,13,18
10,1.494400,13,18
10,1.576800,13,18
10,1.741600,13,18
10,1.824000,13,18
10,1.906400,13,18
10,2.071200,13,18
10,2.153600,13,18
10,2.318400,13,18
10,2.400800,13,18
10,2.483200,13,18
10,2.565600,13,18
10,1.247200,13,21
10,1.412000,13,21
10,2.812800,13,21
10,1.164800,14,13
10,7.817317,14,13
10,1.332896,18,13
10,2.980896,18,13
10,1.250496,21,13
10,1.415296,21,13
10,1.580096,21,13
10,1.744896,21,13
10,1.827296,21,13
10,1.909696,21,13
10,2.074496,21,13
10,2.239296,21,13
10,2.651296,21,13
10,2.733696,21,13
10,2.816096,21,13
11,1.085696,2,13
11,1.332896,2,13
11,2.432565,2,13
11,1.000000,13,4
11,1.329600,13,4
11,1.412000,13,4
11,1.906400,13,4
11,2.483200,13,4
11,1.082400,13,15
11,1.494400,13,15
11,2.565600,13,15
11,1.164800,13,18
11,1.576800,13,18
11,1.659200,13,18
11,1.741600,13,18
11,1.824000,13,18
11,1.988800,13,18
11,2.071200,13,18
11,2.153600,13,18
11,2.236000,13,18
11,2.318400,13,18
11,2.400800,13,18
11,2.648000,13,18
11,1.247200,13,21
11,2.730400,13,21
11,1.168096,21,13
11,1.250496,21,13
11,1.687211,21,13
11,1.769611,21,13
11,1.953079,21,13
11,2.167437,21,13
12,1.000000,13,4
12,1.494400,13,4
12,2.318400,13,4
12,1.082400,13,6
12,15.551854,13,6
12,1.164800,13,15
12,1.906400,13,15
12,2.236000,13,15
12,1.247200,13,18
12,1.824000,13,18
12,1.988800,13,18
12,2.071200,13,18
12,2.153600,13,18
12,2.400800,13,18
12,1.329600,13,21
12,1.412000,13,21
12,1.576800,13,21
12,1.659200,13,21
12,1.741600,13,21
12,2.483200,13,21
13,1.000000,13,4
13,1.659200,13,4
13,2.237851,13,4
13,1.082400,13,6
13,11.635118,13,6
13,1.164800,13,15
13,2.637170,13,15
13,1.247200,13,18
13,1.576800,13,18
13,2.320251,13,18
13,1.329600,13,21
13,1.412000,13,21
13,1.494400,13,21
13,1.741600,13,21
13,2.084861,13,21
14,1.000000,13,2
14,22.270236,13,2
14,1.082400,13,4
14,1.494400,13,4
14,1.576800,13,4
14,2.029653,13,4
14,1.164800,13,6
14,16.890362,13,6
14,1.247200,13,15
14,2.192207,13,15
14,1.329600,13,18
14,1.659200,13,18
14,1.741600,13,18
14,1.866174,13,18
14,3.138775,13,18
14,1.412000,13,21
14,3.056375,13,21
15,1.000000,13,4
15,1.448765,13,4
15,2.782114,13,4
15,1.082400,13,15
15,2.864514,13,15
15,1.164800,13,18
15,4.765554,13,18
15,1.247200,13,21
15,1.329600,13,21
15,1.983342,13,21
15,2.589840,13,21
16,1.000000,13,4
16,1.362583,13,4
16,1.444983,13,4
16,1.620579,13,4
16,2.633213,13,4
16,1.082400,13,15
16,16.465909,13,15
16,1.164800,13,18
16,5.443185,13,18
16,1.247200,13,21
16,2.035612,13,21
17,1.000000,13,4
17,1.247200,13,4
17,1.381328,13,4
17,2.669588,13,4
17,1.082400,13,18
17,6.270179,13,18
17,1.164800,13,21
17,1.610362,13,21
17,2.111267,13,21
18,1.000000,13,4
18,1.298624,13,4
18,1.381024,13,4
18,1.463424,13,4
18,1.545824,13,4
18,1.628224,13,4
18,1.710624,13,4
18,1.793024,13,4
18,2.145936,13,4
18,1.082400,13,18
18,4.292917,13,18
18,1.164800,13,21
18,1.992202,13,21
18,3.997803,13,21
19,1.000000,13,2
19,2.604189,13,2
19,1.082400,13,4
19,1.412000,13,4
19,1.621711,13,4
19,1.752436,13,4
19,1.917236,13,4
19,1.999636,13,4
19,2.082036,13,4
19,1.164800,13,15
19,16.465909,13,15
19,1.247200,13,18
19,3.962123,13,18
19,1.329600,13,21
19,1.834836,13,21
19,2.175965,13,21
20,1.000000,13,2
20,13.327822,13,2
20,1.082400,13,4
20,1.412000,13,4
20,1.616710,13,4
20,1.699110,13,4
20,1.781510,13,4
20,1.997338,13,4
20,2.440736,13,4
20,1.164800,13,15
20,5.443185,13,15
20,1.247200,13,18
20,14.462967,13,18
20,1.329600,13,21
20,1.863910,13,21
20,3.676210,13,21
21,1.000000,13,4
21,1.494400,13,4
21,1.576800,13,4
21,1.741600,13,4
21,1.824000,13,4
21,1.906400,13,4
21,2.071200,13,4
21,2.153600,13,4
21,2.400800,13,4
21,2.483200,13,4
21,1.082400,13,6
21,2.318400,13,6
21,3.027942,13,6
21,1.164800,13,15
21,9.939191,13,15
21,1.247200,13,18
21,4.408139,13,18
21,1.329600,13,21
21,1.412000,13,21
21,1.659200,13,21
21,1.988800,13,21
21,2.236000,13,21
21,2.565600,13,21
22,1.000000,13,4
22,1.412000,13,4
22,1.494400,13,4
22,1.824000,13,4
22,1.988800,13,4
22,2.071200,13,4
22,2.153600,13,4
22,1.082400,13,15
22,23.572355,13,15
22,1.164800,13,18
22,2.510004,13,18
22,1.247200,13,21
22,1.329600,13,21
22,1.576800,13,21
22,1.659200,13,21
22,1.741600,13,21
22,1.906400,13,21
22,2.898665,13,21
24,1.000000,13,4
24,1.164800,13,4
24,1.247200,13,4
24,1.329600,13,4
24,1.467219,13,4
24,1.549619,13,4
24,1.632019,13,4
24,1.796819,13,4
24,1.879219,13,4
24,1.961619,13,4
24,2.044019,13,4
24,2.318517,13,4
24,1.082400,13,21
24,1.714419,13,21
24,2.236117,13,21
25,1.000000,13,4
25,1.164800,13,4
25,1.294229,13,4
25,1.376629,13,4
25,1.623829,13,4
25,1.706229,13,4
25,1.788629,13,4
25,1.893973,13,4
25,1.976373,13,4
25,2.170694,13,4
25,1.082400,13,21
25,1.459029,13,21
25,1.541429,13,21
25,2.437800,13,21
26,1.000000,13,4
26,1.247200,13,4
26,1.503873,13,4
26,1.586273,13,4
26,1.760250,13,4
26,1.842650,13,4
26,1.925050,13,4
26,2.007450,13,4
26,2.089850,13,4
26,2.172250,13,4
26,2.254650,13,4
26,1.082400,13,15
26,4.765554,13,15
26,1.164800,13,21
26,1.329600,13,21
26,1.412000,13,21
26,3.981495,13,21
27,1.000000,13,4
27,1.329600,13,4
27,1.412000,13,4
27,1.494400,13,4
27,1.576800,13,4
27,1.755389,13,4
27,2.888031,13,4
27,1.082400,13,15
27,4.765554,13,15
27,1.164800,13,18
27,2.750858,13,18
27,1.247200,13,21
27,1.940967,13,21
27,2.301553,13,21
28,1.000000,13,2
28,9.886371,13,2
28,1.082400,13,4
28,1.494400,13,4
28,1.576800,13,4
28,1.659200,13,4
28,1.741600,13,4
28,1.824000,13,4
28,1.988800,13,4
28,2.071200,13,4
28,2.236000,13,4
28,1.164800,13,6
28,13.713072,13,6
28,1.247200,13,15
28,4.765554,13,15
28,1.329600,13,18
28,1.906400,13,18
28,2.318400,13,18
28,1.412000,13,21
28,2.153600,13,21
28,3.487426,13,21
29,1.000000,13,4
29,1.247200,13,4
29,1.412000,13,4
29,1.494400,13,4
29,1.576800,13,4
29,1.659200,13,4
29,1.741600,13,4
29,1.988800,13,4
29,2.153600,13,4
29,2.236000,13,4
29,2.318400,13,4
29,2.483200,13,4
29,2.565600,13,4
29,2.648000,13,4
29,2.730400,13,4
29,2.812800,13,4
29,1.082400,13,18
29,2.400800,13,18
29,2.977600,13,18
29,1.164800,13,21
29,1.329600,13,21
29,1.824000,13,21
29,1.906400,13,21
29,2.071200,13,21
29,2.895200,13,21
30,1.000000,13,2
30,11.775349,13,2
30,1.082400,13,4
30,1.494400,13,4
30,1.576800,13,4
30,1.659200,13,4
30,1.906400,13,4
30,1.988800,13,4
30,2.071200,13,4
30,2.153600,13,4
30,2.236000,13,4
30,2.318400,13,4
30,1.164800,13,15
30,2.565600,13,15
30,1.247200,13,18
30,1.412000,13,18
30,1.824000,13,18
30,2.483200,13,18
30,1.329600,13,21
30,1.741600,13,21
30,2.400800,13,21
31,1.000000,13,4
31,1.247200,13,4
31,1.329600,13,4
31,1.412000,13,4
31,1.494400,13,4
31,1.659200,13,4
31,1.824000,13,4
31,2.071200,13,4
31,2.153600,13,4
31,2.236000,13,4
31,2.318400,13,4
31,1.082400,13,18
31,2.400800,13,18
31,1.164800,13,21
31,1.576800,13,21
31,1.741600,13,21
31,1.906400,13,21
31,1.988800,13,21
31,2.733325,13,21
32,1.000000,13,4
32,1.329600,13,4
32,1.494400,13,4
32,1.576800,13,4
32,1.659200,13,4
32,1.741600,13,4
32,1.906400,13,4
32,2.400800,13,4
32,2.565600,13,4
32,1.082400,13,18
32,1.247200,13,18
32,1.988800,13,18
32,2.071200,13,18
32,2.153600,13,18
32,2.236000,13,18
32,2.318400,13,18
32,2.949516,13,18
32,1.164800,13,21
32,1.412000,13,21
32,1.824000,13,21
32,2.483200,13,21
32,3.160865,13,21
33,1.000000,13,2
33,14.462967,13,2
33,1.082400,13,4
33,1.494400,13,4
33,1.576800,13,4
33,1.659200,13,4
33,1.741600,13,4
33,1.824000,13,4
33,1.906400,13,4
33,2.071200,13,4
33,2.153600,13,4
33,2.236000,13,4
33,2.318400,13,4
33,2.400800,13,4
33,2.483200,13,4
33,2.812800,13,4
33,2.977600,13,4
33,1.164800,13,6
33,4.765554,13,6
33,1.247200,13,15
33,4.501716,13,15
33,1.329600,13,18
33,2.895200,13,18
33,3.142400,13,18
33,1.412000,13,21
33,1.988800,13,21
33,2.565600,13,21
33,2.648000,13,21
33,2.730400,13,21
33,3.060000,13,21
34,1.082400,1,13
34,8.154312,1,13
34,1.085696,4,13
34,1.332896,4,13
34,1.415296,4,13
34,1.497696,4,13
34,1.662496,4,13
34,1.744896,4,13
34,1.827296,4,13
34,2.074496,4,13
34,2.156896,4,13
34,2.239296,4,13
34,2.321696,4,13
34,2.404096,4,13
34,2.486496,4,13
34,2.651296,4,13
34,2.733696,4,13
34,2.816096,4,13
34,2.898496,4,13
34,3.228096,4,13
34,3.310496,4,13
34,3.392896,4,13
34,3.475296,4,13
34,3.557696,4,13
34,3.640096,4,13
34,1.000000,13,2
34,14.462967,13,2
34,1.082400,13,4
34,1.494400,13,4
34,1.576800,13,4
34,1.659200,13,4
34,1.741600,13,4
34,1.824000,13,4
34,1.906400,13,4
34,2.071200,13,4
34,2.236000,13,4
34,2.318400,13,4
34,2.400800,13,4
34,2.483200,13,4
34,2.648000,13,4
34,1.164800,13,5
34,4.765554,13,5
34,1.247200,13,15
34,2.812800,13,15
34,1.329600,13,18
34,2.565600,13,18
34,3.837589,13,18
34,1.412000,13,21
34,1.988800,13,21
34,2.153600,13,21
34,2.730400,13,21
34,1.164800,14,13
34,25.762338,14,13
34,1.580096,16,13
34,2.568896,16,13
34,3.978214,16,13
34,1.250496,18,13
34,14.611487,18,13
34,1.168096,21,13
34,1.909696,21,13
34,1.992096,21,13
34,2.980896,21,13
34,3.063296,21,13
34,3.145696,21,13
34,3.722496,21,13
35,1.082400,1,13
35,22.298138,1,13
35,1.085696,4,13
35,1.250496,4,13
35,1.415296,4,13
35,1.580096,4,13
35,1.662496,4,13
35,1.827296,4,13
35,1.909696,4,13
35,2.074496,4,13
35,2.156896,4,13
35,2.321696,4,13
35,2.568896,4,13
35,2.651296,4,13
35,2.816096,4,13
35,2.898496,4,13
35,2.980896,4,13
35,3.145696,4,13
35,1.000000,13,2
35,16.465909,13,2
35,1.082400,13,4
35,1.412000,13,4
35,1.494400,13,4
35,1.659200,13,4
35,1.741600,13,4
35,1.824000,13,4
35,1.906400,13,4
35,2.071200,13,4
35,2.318400,13,4
35,2.400800,13,4
35,2.483200,13,4
35,2.648000,13,4
35,1.164800,13,15
35,14.462967,13,15
35,1.247200,13,18
35,2.236000,13,18
35,2.565600,13,18
35,1.329600,13,21
35,1.576800,13,21
35,1.988800,13,21
35,2.153600,13,21
35,2.730400,13,21
35,1.164800,14,13
35,4.263905,14,13
35,1.168096,21,13
35,1.332896,21,13
35,1.497696,21,13
35,1.744896,21,13
35,1.992096,21,13
35,2.239296,21,13
35,2.404096,21,13
35,2.486496,21,13
35,2.733696,21,13
35,3.063296,21,13
36,1.082400,1,13
36,52.684086,1,13
36,1.164800,2,13
36,15.955884,2,13
36,1.247200,4,13
36,1.494400,4,13
36,1.741600,4,13
36,1.824000,4,13
36,1.906400,4,13
36,2.071200,4,13
36,2.400800,4,13
36,2.483200,4,13
36,2.565600,4,13
36,2.648000,4,13
36,2.730400,4,13
36,2.812800,4,13
36,2.977600,4,13
